numero;antes;depois;chegada_gps;erro_antes_h;erro_depois_h;veredito
C-2026-000562;2026-08-31 00:00:00;2026-08-30 09:01:03;2026-08-29 09:06:02;38.9;23.9;melhorou
C-2026-000563;2026-08-29 00:00:00;2026-08-31 21:06:10;2026-08-31 12:58:47;61.0;8.1;melhorou
C-2026-000564;2026-08-29 00:00:00;2026-08-29 18:23:59;2026-08-28 18:23:59;5.6;24.0;piorou
C-2026-000565;2026-09-02 00:00:00;2026-09-02 08:32:35;2026-09-01 08:42:35;15.3;23.8;piorou
C-2026-000567;2026-08-29 00:00:00;2026-08-30 12:53:23;2026-08-29 12:58:23;13.0;23.9;piorou
C-2026-000569;2026-08-30 00:00:00;2026-09-01 03:20:58;2026-08-31 03:25:58;27.4;23.9;melhorou
C-2026-000570;2026-08-31 11:53:32.753133;2026-08-31 21:43:49;2026-08-31 11:42:42;0.2;10.0;piorou
C-2026-000572;2026-08-31 10:08:07.544821;2026-08-31 00:05:56;2026-08-30 00:05:56;34.0;24.0;melhorou
C-2026-000577;2026-09-01 00:00:00;2026-08-30 21:24:19;2026-08-29 21:29:19;50.5;23.9;melhorou
C-2026-000579;None;2026-09-02 09:36:08;2026-09-01 10:20:31;;;sem referencia
C-2026-000581;2026-08-31 13:14:01.888531;2026-08-31 21:06:10;2026-08-31 12:58:47;0.3;8.1;piorou
C-2026-000583;None;2026-09-03 08:59:37;2026-09-02 09:04:37;;;sem referencia
C-2026-000584;2026-09-01 10:08:15.312722;2026-09-02 19:10:04;2026-09-02 10:13:44;24.1;8.9;melhorou
C-2026-000585;2026-09-02 11:58:08.558656;2026-09-01 21:55:14;2026-08-31 22:00:14;38.0;23.9;melhorou
C-2026-000589;2026-08-31 18:51:44.216877;2026-09-01 03:20:58;2026-08-31 03:25:58;15.4;23.9;piorou
C-2026-000590;2026-09-01 10:08:15.313503;2026-08-31 15:11:25;2026-08-30 15:16:25;42.9;23.9;melhorou
C-2026-000591;2026-09-02 10:08:31.792530;2026-09-02 21:03:08;2026-09-02 11:51:16;1.7;9.2;piorou
C-2026-000592;2026-09-02 02:30:36.704329;2026-09-02 23:53:43;2026-09-02 00:08:43;2.4;23.8;piorou
C-2026-000594;2026-09-02 10:08:31.795479;2026-09-03 02:39:11;2026-09-02 02:44:11;7.4;23.9;piorou
C-2026-000598;2026-09-01 00:00:00;2026-09-02 04:52:00;2026-08-30 13:36:08;34.4;63.3;piorou
C-2026-000599;None;2026-09-02 18:13:24;2026-09-01 18:13:24;;;sem referencia
C-2026-000600;2026-09-01 17:26:27.780139;2026-09-02 16:30:55;2026-09-01 16:35:55;0.8;23.9;piorou
C-2026-000604;2026-09-03 13:37:40.117956;2026-09-03 21:00:15;2026-09-02 21:05:15;16.5;23.9;piorou
C-2026-000605;2026-09-02 10:08:31.796389;2026-09-02 00:00:00;2026-09-01 06:06:57;28.0;17.9;melhorou
C-2026-000606;2026-09-02 00:00:00;2026-09-02 21:02:50;2026-09-01 21:02:50;3.0;24.0;piorou
